iter	RMSE
0	0.4965961205
1	0.4934239431
2	0.4902360372
3	0.4870753973
4	0.4840305406
5	0.4809687567
6	0.4779013259
7	0.4749174942
8	0.4719296956
9	0.4689302606
10	0.465976332
11	0.4630189072
12	0.4601188641
13	0.4572029924
14	0.4543165032
15	0.4515025969
16	0.4486579695
17	0.4458698452
18	0.4430948901
19	0.440356993
20	0.4376433841
21	0.4348976741
22	0.4321902934
23	0.4294733137
24	0.4267970383
25	0.4241743669
26	0.4215406535
27	0.4189197814
28	0.4163231679
29	0.413742695
30	0.4111918481
31	0.4086807736
32	0.4061745974
33	0.4036641374
34	0.4011637768
35	0.3986748094
36	0.3961954682
37	0.3937505728
38	0.3913196862
39	0.388910195
40	0.3865060003
41	0.3841278321
42	0.3817546098
43	0.3794192353
44	0.3770793269
45	0.3747712771
46	0.3724625739
47	0.3701774662
48	0.3679096196
49	0.3656621755
50	0.3634141815
51	0.3611764803
52	0.3589786728
53	0.3567835379
54	0.3545979021
55	0.352443782
56	0.3502893768
57	0.3481423724
58	0.3460155631
59	0.3438986167
60	0.3417928456
61	0.3397046621
62	0.3376324306
63	0.3355732471
64	0.3335311569
65	0.3314958409
66	0.3294871561
67	0.3274774011
68	0.3254863117
69	0.3235122239
70	0.321542425
71	0.3195808857
72	0.3176294041
73	0.3157044208
74	0.3137877052
75	0.3118806964
76	0.3099826762
77	0.3080925179
78	0.3062200992
79	0.3043561789
80	0.3025021297
81	0.3006619475
82	0.2988315873
83	0.2970175901
84	0.2952179222
85	0.2934220242
86	0.2916446625
87	0.2898727582
88	0.2881168377
89	0.286370887
90	0.2846321865
91	0.2829098428
92	0.2811974197
93	0.2794930261
94	0.2778029846
95	0.2761174331
96	0.2744456388
97	0.2727860658
98	0.2711354071
99	0.2694943422
100	0.2678592951
101	0.2662373172
102	0.2646226372
103	0.2630206723
104	0.2614304592
105	0.2598499623
106	0.2582797214
107	0.2567143364
108	0.2551595705
109	0.2536144432
110	0.2520806244
111	0.2505558273
112	0.2490403819
113	0.2475323071
114	0.2460354365
115	0.244547781
116	0.2430692364
117	0.2415991978
118	0.2401377156
119	0.2386874636
120	0.2372432391
121	0.2358090075
122	0.2343825393
123	0.2329676441
124	0.2315602421
125	0.2301629235
126	0.228772149
127	0.2273892659
128	0.2260164932
129	0.2246521031
130	0.2232951364
131	0.2219464482
132	0.220606761
133	0.2192749091
134	0.217951142
135	0.2166353821
136	0.2153266063
137	0.214027282
138	0.2127348855
139	0.2114507732
140	0.2101736045
141	0.2089039153
142	0.2076423223
143	0.2063881232
144	0.2051423391
145	0.2039034011
146	0.2026724815
147	0.2014488924
148	0.2002336548
149	0.1990255362
150	0.1978252377
151	0.1966314789
152	0.1954454084
153	0.1942657047
